uri,author,created,text
at://did:plc:zfx7buwh3bdf3nneuh5or3ns/app.bsky.feed.post/3lpp7ph7wzs2q,yolandadiaz.bsky.social,2025-05-21T18:20:18.209Z,El papel de los graduados y graduadas sociales es fundamental para que las políticas laborales se apliquen correctamente.  Me he reunido con sus representantes para poner en valor su trabajo y agradecer su disposición para afrontar los retos de la puesta en marcha de la reducción de jornada.
at://did:plc:zfx7buwh3bdf3nneuh5or3ns/app.bsky.feed.post/3lpp6pbgtz22p,yolandadiaz.bsky.social,2025-05-21T18:02:18.413Z,Israel está perpetrando un genocidio. Debemos hacer más para detener la masacre. Hay 14.000 bebés en riesgo de morir de hambre por las acciones de Netanyahu.  El mundo no puede permanecer en silencio.
at://did:plc:zfx7buwh3bdf3nneuh5or3ns/app.bsky.feed.post/3lposyyaxc22t,yolandadiaz.bsky.social,2025-05-21T14:32:59.424Z,"Hay personas que llevan años buscando una segunda oportunidad. Hoy les decimos: no estáis solos.  Aprobamos 2.571 millones para políticas activas de empleo que les miran de frente, con dignidad, hasta 2028."
at://did:plc:zfx7buwh3bdf3nneuh5or3ns/app.bsky.feed.post/3lpoldrhxrk2o,yolandadiaz.bsky.social,2025-05-21T12:15:51.478Z,Ya dispararon contra las ONGs que llevan ayuda humanitaria. Ahora contra diplomáticos. Es un paso más en la impunidad y en su intención de seguir silenciando el genocidio al pueblo palestino.  Europa tiene que romper sus relaciones comerciales con Israel.
at://did:plc:zfx7buwh3bdf3nneuh5or3ns/app.bsky.feed.post/3lpob5kfx6s2e,yolandadiaz.bsky.social,2025-05-21T09:13:25.328Z,Trabajar menos mejora la salud mental. Trabajar menos reduce las bajas laborales. El estrés empeora nuestra salud.  Vamos a reducir la jornada laboral para que podamos vivir mejor. cadenaser.com/nacional/202...
at://did:plc:zfx7buwh3bdf3nneuh5or3ns/app.bsky.feed.post/3lpo2w5qofs2t,yolandadiaz.bsky.social,2025-05-21T07:21:54.714Z,"Reducir la jornada laboral es construir sociedades más felices: más tardes al sol, poder tomar una caña; o menos agobio por no llegar al colegio a recoger a los niños.  Os recomiendo esta tribuna sobre la necesidad de trabajar menos para construir sociedades más humanas. elpais.com/opinion/2025..."
at://did:plc:zfx7buwh3bdf3nneuh5or3ns/app.bsky.feed.post/3lpmq24lzbc2p,yolandadiaz.bsky.social,2025-05-20T18:34:36.831Z,"La política sirve para esto: Para defender la vida y los derechos humanos.  Muy orgullosa de formar parte de Sumar por impulsar esta medida junto a la sociedad civil, del Parlamento por aprobarla y de formar parte de un gobierno que no va a dejar solo al pueblo palestino ante el genocidio."
at://did:plc:zfx7buwh3bdf3nneuh5or3ns/app.bsky.feed.post/3lpmmic2y5c2p,yolandadiaz.bsky.social,2025-05-20T17:30:57.346Z,El sindicalismo es una fábrica de derechos y esperanza. Es la mejor red de apoyo y el mejor impulso para los trabajadores y trabajadoras.  Siempre vamos a estar a su lado
at://did:plc:zfx7buwh3bdf3nneuh5or3ns/app.bsky.feed.post/3lpmllkd4sk2p,yolandadiaz.bsky.social,2025-05-20T17:14:52.939Z,Decían que los derechos laborales eran un obstáculo. Mentían. Es el mayor impulso para nuestras democracias.
at://did:plc:zfx7buwh3bdf3nneuh5or3ns/app.bsky.feed.post/3lpmcw4mu2s2u,yolandadiaz.bsky.social,2025-05-20T14:39:43.999Z,"Quiero desearle los mejores aciertos a Ángela de Miguel, nueva presidenta de CEPYME.  Espero que nos sigamos encontrando en el diálogo social, en la defensa de nuestras pequeñas y medianas empresas y en seguir mejorando los derechos laborales. ¡Toda la suerte! www.abc.es/economia/ang..."
at://did:plc:zfx7buwh3bdf3nneuh5or3ns/app.bsky.feed.post/3lplrcvarlk2q,yolandadiaz.bsky.social,2025-05-20T09:24:45.117Z,"La Ley de embargo total que @movimientosumar.es ha impulsado en el Congreso debe salir adelante por razones claras: Por humanidad, por decencia, por las vidas de decenas de miles de niños y niñas palestinos, por los derechos humanos y el derecho internacional."
at://did:plc:zfx7buwh3bdf3nneuh5or3ns/app.bsky.feed.post/3lpkcs4sfbk2y,yolandadiaz.bsky.social,2025-05-19T19:32:10.487Z,Las personas gitanas son parte fundamental del proyecto europeo. Representan la diversidad y la pluralidad que de ninguna manera podemos rechazar.
at://did:plc:zfx7buwh3bdf3nneuh5or3ns/app.bsky.feed.post/3lpjkm4m2j22j,yolandadiaz.bsky.social,2025-05-19T12:19:19.139Z,Nuestro país no puede entenderse sin la cultura. Esto es gracias a los miles de trabajadores y trabajadoras. Vamos a seguir avanzando en el Estatuto del Artista para que todos sus derechos estén garantizados.  Hoy hemos conocido el informe de COTEC sobre el impacto positivo de la cultura en España.
at://did:plc:zfx7buwh3bdf3nneuh5or3ns/app.bsky.feed.post/3lpiynjq4ck2p,yolandadiaz.bsky.social,2025-05-19T06:57:59.113Z,Ninguna empresa puede estar por encima de la ley. Los pisos turísticos ilegales vacían nuestros barrios y limitan el derecho a la vivienda.  Gracias @pbustinduy.bsky.social  por no dejar que los de siempre se enriquezcan a costa de la mayoría.
