Cuenta,Palabra 1,Frecuencia 1,Palabra 2,Frecuencia 2,Palabra 3,Frecuencia 3
PSOE,psoe,4,gobierno,3,pp,3
PEDRO SÁNCHEZ,gobierno,2,enhorabuena,1,familia,1
PP,gobierno,2,sánchez,2,apagón,2
FEIJÓO,sánchez,2,gobierno,1,españoles,1
VOX,vox,3,sánchez,2,pp,2
ABASCAL,sánchez,2,apagón,2,pp,2
SUMAR,derecho,3,energía,3,política,2
YOLANDA DÍAZ,personas,2,trabajo,2,trabajadoras,2
