nombre,id,timestamp,body,blackout
Feijóo,1923498946799804477,2025-05-17 00:01:00,Neste Día das Letras Galegas‚ a forza da poesía popular oral a través das voces de Adolfina e Rosa Casás Rama‚ Eva Castiñeira Santos e das Pandeireteiras de Mens. Mulleres que gardaron a memoria viva do noso pobo.,0
Feijóo,1923347703192604759,2025-05-16 14:00:01,Los españoles y los rumanos compartimos la defensa de la democracia y la pertenencia a la Unión Europea.    Los ciudadanos de Rumanía residentes en España tenéis la oportunidad de expresarlo el 18 de mayo votando al candidato proeuropeo @NicusorDanRO. https://t.co/XN9ZebmBAD,0
Feijóo,1923323318326743145,2025-05-16 12:23:07,El esfuerzo y el trabajo en equipo dan sus frutos. Este trofeo refleja el gran talento que tiene su plantilla.    Mi enhorabuena al Barça por ganar una Liga tan disputada.,0
Feijóo,1923028613684719732,2025-05-15 16:52:04,Felicidades a todos los madrileños en el día de su patrón.    Un honor vivir San Isidro junto al alcalde de Madrid y contagiarse de la alegría de un pueblo que es la suma de todos. https://t.co/FKFmi8VvpF,0
Feijóo,1923008977517867054,2025-05-15 15:34:02,El silencio de Sánchez en el Congreso evidencia que tiene miedo por lo que ha dicho‚ por lo que ha hecho y por lo que vamos descubriendo.    España no se merece este esperpento. https://t.co/5J1NzKLSlg,0
Feijóo,1922911178855952659,2025-05-15 09:05:25,Cuando todo se paró‚ ellos siguieron.  No tienen festivos. Ni días flojos.   Nadie tiene que explicarles cómo se cuida el campo: llevan toda la vida haciéndolo.    Feliz San Isidro Labrador. https://t.co/bV5aH3HOPe,0
Feijóo,1922578884312055977,2025-05-14 11:05:00,Váyase‚ convoque elecciones.    Algo de bochorno le va a ahorrar a los españoles. https://t.co/R6QCTmDDvq,0
Feijóo,1922574324327715122,2025-05-14 10:46:53,Lo sabía y lo tapó‚ porque participó. https://t.co/B6fSTvjSHO,0
Feijóo,1922377168694227209,2025-05-13 21:43:27,Desde la discrepancia ideológica‚ siempre diré que fue una persona cordial y hospitalaria en Montevideo y fue acogido de igual forma en Galicia.    Mi pésame a la familia y amigos de Pepe Mujica. https://t.co/0CWP9s0jwl,0
Feijóo,1922259400539926936,2025-05-13 13:55:29,España no merece un presidente temeroso de las terminales de los móviles de la trama. https://t.co/X0KbvE4h9v,0
Feijóo,1922250479548907941,2025-05-13 13:20:02,Este país merece un presidente del Gobierno cuya única preocupación sea España‚ no otras. https://t.co/Wmx9Y30yDk,0
Feijóo,1922244577341190355,2025-05-13 12:56:35,Pedro Sánchez está más débil que nunca.     Yo voy a preparar al @PPopular más fuerte de siempre. https://t.co/KexPH0sfSG,0
Feijóo,1921920558066708834,2025-05-12 15:29:03,Este Gobierno está ya en su cuenta atrás‚ dure lo que dure.     Y lo más importante‚ nosotros tenemos que activar ya el contador del cambio. https://t.co/CG10caYhWX,0
Feijóo,1921915895309381952,2025-05-12 15:10:31,Hay más preocupación en Moncloa y Ferraz por los whatsapps que por el apagón o el caos en Renfe. https://t.co/hkktc5aTt1,1
Feijóo,1921892747864088614,2025-05-12 13:38:32,Propondré a mi partido que el Congreso Nacional del @ppopular se celebre en julio.    Activaremos al partido‚ lo prepararemos para hacer frente en las urnas a Sánchez y para diseñar desde ya una alternativa de gobierno definitiva‚ sólida y decidida a la altura del gran país que https://t.co/XMMwdytuyI,0
Feijóo,1921792456040833494,2025-05-12 07:00:01,Yo os puedo decir que conocí otra política. La buena política.     •⁠ La que nos brindó la democracia.  •⁠ La que promovía la concordia.  •⁠ La que se ocupaba de solucionar problemas‚ no de crear nuevos. https://t.co/nVvkfr3kRX,0
Feijóo,1920813817069465936,2025-05-09 14:11:15,Hoy España no tiene un Gobierno europeo porque ninguno sobrevive sin presupuestos‚ sin mayoría del Parlamento y rodeado de sumarios de corrupción. https://t.co/2BmV3kc3Rl,0
Feijóo,1920807335364100138,2025-05-09 13:45:30,Necesitamos una Europa que dé respuestas a los problemas de las personas. https://t.co/HnerQHCTkE,0
Feijóo,1920539612620972371,2025-05-08 20:01:40,Habemus Papam.      Al Pontífice León XIV le deseo acierto‚ fortaleza y sabiduría en la gran responsabilidad que hoy asume. Que su papado sea fuente de unidad ante los grandes desafíos que enfrenta el mundo.,0
Feijóo,1920229584647151655,2025-05-07 23:29:43,Lo que está pasando con los Presupuestos Generales del Estado no había ocurrido jamás. https://t.co/6z9QmkLmHS,0
Feijóo,1920223921854369957,2025-05-07 23:07:13,Once avisos en cinco años antes del gran apagón‚ pero el Gobierno no hizo nada. https://t.co/8uZr5BC39Y,1
Feijóo,1920127732920582477,2025-05-07 16:45:00,Si usted es capaz de mirar a la cara a un paciente de ELA o a un familiar tiene menos escrúpulos de los que yo pensaba‚ señor Sánchez. https://t.co/lA9ZHPVWfi,0
Feijóo,1920121665016496140,2025-05-07 16:20:53,Señor Sánchez‚ salgamos a la calle juntos y‚ si no le gusta lo que ve‚ siempre puede hacer lo mismo que con el Rey: salir corriendo. https://t.co/uFwOtiPzrA,0
Feijóo,1920062602303914164,2025-05-07 12:26:12,Todo el mundo hablando de ataque ruso y lo único que hace falta para desestabilizar España es una exministra de Zapatero recolocada por Pedro Sánchez en Red Eléctrica. https://t.co/OImIdqVpA3,1
Feijóo,1920052235540549952,2025-05-07 11:45:00,El único español que recibió con alivio el gran apagón fue su hermano‚ señor Sánchez. https://t.co/iMT86bgGMQ,1
Feijóo,1920047506324365338,2025-05-07 11:26:12,Se han esforzado tanto en aparentar ser los más verdes del mundo que llevaron España a negro. https://t.co/xNFErFXmlc,0
Feijóo,1919768392241750077,2025-05-06 16:57:06,Enhorabuena @_FriedrichMerz por tu elección como nuevo Canciller de Alemania.    Espero que se abra una etapa de estabilidad‚ prosperidad y desarrollo para una Alemania fuerte en una Europa competitiva y unida.    Herzlichen Glückwunsch‚ Merz! https://t.co/r0mUu2lrsq,0
Feijóo,1919760311734694281,2025-05-06 16:25:00,El Gobierno quiere consultar a los españoles una posible fusión empresarial‚ pero no los miles de millones de inversión en Defensa.     Seamos serios y consultémoslo todo en unas elecciones. https://t.co/BzaI5mCFJu,0
Feijóo,1919759643024195637,2025-05-06 16:22:20,El apagón es el síntoma más evidente de todos los males de este Gobierno. https://t.co/C8uKqxXmsO,1
Feijóo,1919752761933234594,2025-05-06 15:55:00,El caos ferroviario del domingo y el lunes no es un incidente aislado‚ es la viva imagen de una forma de gobernar.    Cuando se gobierna a golpe de tuit‚ la gestión es un meme constante. https://t.co/jmr7KWkiox,0
Feijóo,1919275355182977044,2025-05-05 08:17:57,Miles de españoles atrapados en trenes de madrugada. Sin agua. Sin nada. Segundo lunes con imágenes impropias de la cuarta economía del euro.    La gente no merece pagar cada día más impuestos a cambio de peores servicios.    España tiene que volver a funcionar. Es mi objetivo.,0
